subIndustry,total_revenue,total_bills,avg_revenue_per_bill,unique_franchises,cluster_label,low_confidence
Banking- Finance - Insurance - Capital - Investment,50711.0,6,8451.833333333334,1,Emerging / Niche,True
"Trust, Charitable Institutions, NGO",49105.0,3,16368.333333333334,2,Premium (High Value/Bill),True
"Steel Plant, Rolling Mills, Steel, Iron, Mineral, Metal, Mining",46291.0,8,5786.375,4,Emerging / Niche,False
"Print, Digital, Branding, Videos, Social Media, Visual Marketting",45451.0,5,9090.2,1,Emerging / Niche,True
Crop Production,43733.0,2,21866.5,1,New / Insufficient Data,True
Dance & Music,41795.0,5,8359.0,1,Emerging / Niche,True
Manufacturing & Industrial Services,39416.0,4,9854.0,2,Emerging / Niche,True
"Esport, Athletic",36825.0,4,9206.25,3,Emerging / Niche,False
Trading,36585.0,7,5226.428571428572,2,Emerging / Niche,True
Agriculture,35361.0,3,11787.0,2,Premium (High Value/Bill),True
Manufacturing Services,35232.0,3,11744.0,3,Premium (High Value/Bill),False
"Bag, Material, Leather",34175.0,6,5695.833333333333,2,Emerging / Niche,True
Business Process Outsourcing (BPO) & Business Support Services,33455.0,4,8363.75,1,Emerging / Niche,True
Technology Solutions,32370.0,3,10790.0,3,Emerging / Niche,False
Agri Commodities Trading,32368.0,2,16184.0,2,New / Insufficient Data,True
Textiles,32050.0,3,10683.333333333334,2,Emerging / Niche,True
Information Technology and Services,31078.0,6,5179.666666666667,2,Emerging / Niche,True
Beauty,29676.0,1,29676.0,1,New / Insufficient Data,True
"Fashion, Textiles, and Accessories",29651.0,4,7412.75,2,Emerging / Niche,True
Electric Vehicle & Dealers,28739.0,6,4789.833333333333,5,Emerging / Niche,False
Co Working Space,28583.0,2,14291.5,1,New / Insufficient Data,True
Software Development & Publishing,27826.0,2,13913.0,1,New / Insufficient Data,True
Travel & Tourism Services,25875.0,3,8625.0,1,Emerging / Niche,True
Home Appliances,25802.0,5,5160.4,4,Emerging / Niche,False
Jute Products Manufacturing,24992.0,2,12496.0,2,New / Insufficient Data,True
Retail- Distributor,24990.0,1,24990.0,1,New / Insufficient Data,True
IT INDUSTRY,24365.0,1,24365.0,1,New / Insufficient Data,True
Retailer,23709.0,3,7903.0,3,Emerging / Niche,False
PR,23428.0,1,23428.0,1,New / Insufficient Data,True
Advertising - Media - Marketing Research,23240.0,4,5810.0,4,Emerging / Niche,False
Marketing,22689.0,6,3781.5,2,Emerging / Niche,True
IT services and IT consulting,21829.0,3,7276.333333333333,1,Emerging / Niche,True
Web Development,19523.0,2,9761.5,1,New / Insufficient Data,True
Facility Management & Hospitality,19523.0,2,9761.5,1,New / Insufficient Data,True
IT & ITES services,19209.0,2,9604.5,1,New / Insufficient Data,True
Beauty & Cosmetics,18000.0,1,18000.0,1,New / Insufficient Data,True
"dairy, poultry, aquaculture",17965.0,3,5988.333333333333,1,Emerging / Niche,True
E-commerce,17431.0,4,4357.75,1,Emerging / Niche,True
Service and Repair,17181.0,2,8590.5,2,New / Insufficient Data,True
Gems and Diamonds,17169.0,1,17169.0,1,New / Insufficient Data,True
Real Estate Development and Management,16876.0,2,8438.0,1,New / Insufficient Data,True
Construction,16875.0,1,16875.0,1,New / Insufficient Data,True
Non-Profit,16681.0,3,5560.333333333333,2,Emerging / Niche,True
Network provider,15931.0,2,7965.5,2,New / Insufficient Data,True
Chemicals & Lubricants,15566.0,4,3891.5,1,Emerging / Niche,True
Service Provider,15307.0,2,7653.5,1,New / Insufficient Data,True
Machinery Manufacturing,15017.0,4,3754.25,2,Emerging / Niche,True
Automobile Industry,14920.0,2,7460.0,1,New / Insufficient Data,True
Media Production & Publishing,14807.0,4,3701.75,1,Emerging / Niche,True
Fashion,14244.0,3,4748.0,3,Emerging / Niche,False
FMCG,12783.0,2,6391.5,1,New / Insufficient Data,True
Research,11954.0,1,11954.0,1,New / Insufficient Data,True
"Building Materials (Ceramics, Tiles, Sanitaryware)",11246.0,1,11246.0,1,New / Insufficient Data,True
Freight Forwarding & Logistics Services,11246.0,1,11246.0,1,New / Insufficient Data,True
WAREHOUSING,10933.0,1,10933.0,1,New / Insufficient Data,True
e commerce,10933.0,1,10933.0,1,New / Insufficient Data,True
Wealth & Asset Management,10777.0,2,5388.5,2,New / Insufficient Data,True
Event Management & Planning,10496.0,3,3498.6666666666665,2,Emerging / Niche,True
CA Firm,10340.0,2,5170.0,1,New / Insufficient Data,True
"Imitation , Fashion Jewellery",10121.0,1,10121.0,1,New / Insufficient Data,True
communications,9996.0,1,9996.0,1,New / Insufficient Data,True
Business and Management Consultancy Activities,9496.0,1,9496.0,1,New / Insufficient Data,True
Real Estate Development and Property Management,8860.0,2,4430.0,1,New / Insufficient Data,True
"Wood, Plastic Recycling, Furniture, Fixtures, Fittings, Rubber",8622.0,2,4311.0,1,New / Insufficient Data,True
it service,8547.0,1,8547.0,1,New / Insufficient Data,True
Freight Forwarding,8434.0,2,4217.0,1,New / Insufficient Data,True
Structural & Civil Engineering,8434.0,1,8434.0,1,New / Insufficient Data,True
Management Consulting & Strategy,8434.0,1,8434.0,1,New / Insufficient Data,True
Digital,8247.0,1,8247.0,1,New / Insufficient Data,True
Payroll/HRMS,8191.0,3,2730.3333333333335,1,Emerging / Niche,True
Cybersecurity,8059.0,1,8059.0,1,New / Insufficient Data,True
Fast-Moving Consumer Goods & Services,7594.0,1,7594.0,1,New / Insufficient Data,True
Business Services,7497.0,2,3748.5,1,New / Insufficient Data,True
ERP Automation & Enterprise Software Consulting,7313.0,1,7313.0,1,New / Insufficient Data,True
automation,7247.0,1,7247.0,1,New / Insufficient Data,True
Entertainment,7122.0,1,7122.0,1,New / Insufficient Data,True
Immigration & Visa Consulting,7028.0,1,7028.0,1,New / Insufficient Data,True
Creative services,6750.0,2,3375.0,1,New / Insufficient Data,True
Construction Services,6747.0,2,3373.5,2,New / Insufficient Data,True
Immigration services,6747.0,1,6747.0,1,New / Insufficient Data,True
Financial,6560.0,1,6560.0,1,New / Insufficient Data,True
public Relation,6560.0,1,6560.0,1,New / Insufficient Data,True
Jobs and other service provider,6470.0,2,3235.0,1,New / Insufficient Data,True
Industrial Packaging Solutions,6185.0,1,6185.0,1,New / Insufficient Data,True
Electronics and Automation,6157.0,1,6157.0,1,New / Insufficient Data,True
Solar,5906.0,1,5906.0,1,New / Insufficient Data,True
Apparel and Garment Manufacturing,5748.0,1,5748.0,1,New / Insufficient Data,True
"Accounting, Audit &Tax Consultancy",5623.0,1,5623.0,1,New / Insufficient Data,True
Legal Services & Compliance,5622.0,3,1874.0,2,Emerging / Niche,True
Accountant,5217.0,1,5217.0,1,New / Insufficient Data,True
Diamonds,5060.0,1,5060.0,1,New / Insufficient Data,True
Software Development,4936.0,1,4936.0,1,New / Insufficient Data,True
ISO Certification (Audit),4915.0,1,4915.0,1,New / Insufficient Data,True
Software Development & IT Consulting,4873.0,1,4873.0,1,New / Insufficient Data,True
Overseas education,4873.0,1,4873.0,1,New / Insufficient Data,True
digital advertising,4686.0,1,4686.0,1,New / Insufficient Data,True
Spices,4686.0,1,4686.0,1,New / Insufficient Data,True
Private education services,4686.0,1,4686.0,1,New / Insufficient Data,True
photograhy,4686.0,1,4686.0,1,New / Insufficient Data,True
Legal Services,4686.0,1,4686.0,1,New / Insufficient Data,True
interior designing,4686.0,1,4686.0,1,New / Insufficient Data,True
hospitality,4311.0,1,4311.0,1,New / Insufficient Data,True
Kitchen Articles,4123.0,1,4123.0,1,New / Insufficient Data,True
Organic & Sustainable Farming,3749.0,1,3749.0,1,New / Insufficient Data,True
Clinical Research,3713.0,1,3713.0,1,New / Insufficient Data,True
"Electronics, Batteries, Chip/ Memory Design",3186.0,1,3186.0,1,New / Insufficient Data,True
Beauty & Personal Care,2811.0,1,2811.0,1,New / Insufficient Data,True
Industrial Chemical Supplies (PU chemicals),2249.0,1,2249.0,1,New / Insufficient Data,True
ART,0.0,1,0.0,1,New / Insufficient Data,True
Avionics and Communication system,0.0,1,0.0,1,New / Insufficient Data,True
Language services,0.0,1,0.0,1,New / Insufficient Data,True
Integrated Digital Marketing / E-commerce Strategy,0.0,1,0.0,1,New / Insufficient Data,True
Herbal Tea & Wellness Beverage Brand / Food & Beverage Manufacturing Company,0.0,1,0.0,1,New / Insufficient Data,True
Financial Services,0.0,2,0.0,1,New / Insufficient Data,True
Enterprise Solutions,0.0,1,0.0,1,New / Insufficient Data,True
Energy & Power Solutions,0.0,1,0.0,1,New / Insufficient Data,True
Retail (Jewellery),0.0,1,0.0,1,New / Insufficient Data,True
Metal Products (Non-Ferrous),0.0,1,0.0,1,New / Insufficient Data,True
